rooms	studio	total_area	living_area	kitchen_area	prepayment	balconies	floor	floors	deposit	ceiling_height	gaz	garbage_chute	building_year	rent	refit_cosm	refit_design	refit_euro	refit_rnv	view_from_windows_both	view_from_windows_street	view_from_windows_yard	utility_bills_by_counters	utility_bills_no	utility_bills_yes	walls_block	walls_brick	walls_ferroc	walls_mixed	walls_mono	walls_panel	ceiling_type_concr	ceiling_type_ferroc	ceiling_type_mixed	ceiling_type_mono	ceiling_type_wood	холодильник	интернет	посудомоечная машина	фитнес	кондиционер	стиральная машина	телевизор	закрытая территория	парк	мебель на кухне	можно с детьми	микроволновая печь	плита	мебель в комнатах	можно с животными
0.1111111111111111	0	0.07816711590296496	0.06559877955758962	0.15178571428571427	0.0	0.3333333333333333	0.06451612903225806	0.6470588235294118	0.05	0.24000000000000007	0	0	0.9798387096774194	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	1	0.0431266846361186	0.011441647597254006	0.11696428571428572	0.0	0.3333333333333333	0.0967741935483871	0.08823529411764706	0.04	0.2666666666666666	0	0	0.9838709677419355	2	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
0.2222222222222222	0	0.12884097035040432	0.11136536994660565	0.09821428571428571	0.07142857142857142	0.3333333333333333	0.5161290322580645	0.4411764705882353	0.07142857142857142	0.26333333333333336	0	1	0.9314516129032258	3	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1
0.0	1	0.029649595687331536	0.046529366895499615	0.09196428571428572	0.0	0.0	0.03225806451612903	0.08823529411764706	0.0	0.26333333333333336	1	0	0.5282258064516129	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.2222222222222222	0	0.1509433962264151	0.13424866514111367	0.11607142857142858	0.12142857142857143	0.0	0.1935483870967742	0.20588235294117646	0.12142857142857143	0.3333333333333333	0	1	0.9233870967741935	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0
0.2222222222222222	0	0.18328840970350405	0.10373760488176964	0.30357142857142855	0.0	0.3333333333333333	0.2903225806451613	0.35294117647058826	0.35714285714285715	0.3	0	0	0.9233870967741935	5	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.2222222222222222	0	0.15633423180592992	0.048054919908466824	0.3294642857142857	1.4285714285714286e-6	0.0	0.3870967741935484	0.5	0.09285714285714286	0.24000000000000007	0	0	0.9637096774193549	3	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0
0.2222222222222222	0	0.12506738544474394	0.12890922959572848	0.08035714285714286	0.0	0.3333333333333333	0.03225806451612903	0.08823529411764706	0.1357142857142857	0.3499999999999999	1	0	0.5403225806451613	4	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0
0.1111111111111111	0	0.08355795148247978	0.07322654462242563	0.0625	0.0	0.0	0.1935483870967742	0.3235294117647059	0.06	0.25666666666666665	1	0	0.9879032258064516	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
0.0	1	0.03773584905660377	0.009534706331045004	0.10714285714285714	1.4285714285714286e-6	0.3333333333333333	0.06451612903225806	0.29411764705882354	0.0	0.22999999999999998	0	0	0.9959677419354839	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.0	1	0.0431266846361186	0.011441647597254006	0.11696428571428572	1.4285714285714286e-6	0.3333333333333333	0.7096774193548387	0.6764705882352942	0.041428571428571426	0.2333333333333334	1	0	0.9717741935483871	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0
0.2222222222222222	0	0.10512129380053908	0.08466819221967964	0.08035714285714286	0.0	0.3333333333333333	0.0967741935483871	0.29411764705882354	0.15714285714285714	0.25666666666666665	0	0	0.9879032258064516	5	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.1111111111111111	0	0.07277628032345014	0.08085430968726164	0.08035714285714286	0.0	0.0	0.03225806451612903	0.23529411764705882	0.045714285714285714	0.20000000000000004	0	0	0.9798387096774194	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0
0.0	1	0.04851752021563342	0.06559877955758962	0.05357142857142857	0.0	0.0	0.06451612903225806	0.3235294117647059	0.06	0.2333333333333334	1	0	0.9879032258064516	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1
