flat_id	rooms	studio	total_area	living_area	kitchen_area	refit	prepayment	view_from_windows	balconies	floor	floors	deposit	utility_bills	ceiling_height	gaz	garbage_chute	building_year	walls	ceiling_type	rent	можно с детьми	микроволновая печь	интернет	парк	закрытая территория	кондиционер	стиральная машина	холодильник	посудомоечная машина	мебель в комнатах	можно с животными	плита	мебель на кухне	телевизор	фитнес
2062110411	3	0	75.0	35.0	10.0	euro				3	5	85000			1	0	1880	brick	wood	85000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061951560	1	0	69.0			cosm	1	both	2	2	20	62000			0	0	2020	mono	ferroc	65000	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
2061379602	3	0	80.0	49.0	20.0	euro			1	10	10	145000	yes		0	0	2020	mono	ferroc	290000	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0
2062081441	3	0	53.0				нет	yard		1	5		no	2.8	0	0		brick		52600	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0
2061751062	3	0	80.0		25.0	design			1	32	33	95000	no		0	0	2019	mono	ferroc	95000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061362836	3	0	115.0	53.0	28.0	design			1	6	11	250000	no		0	0	2009	mono	ferroc	250000	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0
2061435199	4	0	120.0	97.0	15.0	design			1	14	23	555000	no		0	1	2008	mixed	ferroc	340000	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0
2061904840	1	0	39.0	16.0	10.5	design			1	6	14	60000	no		1	0	1977	panel	ferroc	60000	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0
2061753155	0	1	29.2	15.0	8.0	euro			1	6	13	25000	no		0	0	2017	mono	ferroc	25000	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0
1866122568	0	1	28.0	23.0	5.0	design		both		5	10	37479	yes		1	0	2022	mono	ferroc	60450	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0
2061787013	2	0	55.4	36.6	10.0	euro		yard	1	2	5	95000	no	3.05	1	0	1911	brick	mixed	95000	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0
2061852606	2	0	48.6	28.0	6.0	euro		yard		3	5	75000	no		1	0	1891	brick	mixed	75000	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0
2061861063	1	0	59.0		16.0	euro			1	2	17	50000			0	0	2007	mono	ferroc	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061523977	1	0	38.7	16.6	11.0	cosm		yard	1	17	24	25000	no	2.7	0	1	2017	mono	ferroc	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061437515	1	0	46.9	20.0	10.0	euro	нет	street	1	20	25		no	2.8	0	1	2010	mono	ferroc	64900	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2060875696	2	0	65.0	34.8	10.5	euro		yard		6	24	60000	no		1	1	2005	mono	ferroc	60000	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0
2062103869	1	0	38.0	19.0	11.0	euro		yard		3	12	53000	no		1	0	2024	mixed	ferroc	53000	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0
2061833603	2	0	67.3	32.3	12.0	euro		street	2	16	25	50000	no		1	0	2013	mono	ferroc	50000	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0
2061966098	1	0	37.0			euro	1	yard	1	4	22	35000			0	0	2024	mono	ferroc	37000	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
2061932037	2	0	61.4	32.8	12.8				1	14	22	60000	no		1	0	2018	ferroc	ferroc	60000	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0
2061861079	3	0	180.0	72.0	80.0	euro				4	15	450000	no		0	1	2017	mono	ferroc	450000	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2061964911	2	0	55.0	30.0	9.0	design		street	1	9	10	95400	no		1	0	2016	mono	ferroc	90000	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0
